Population,Poverty Count,poverty_male,poverty_female,poverty_white_alone,poverty_black_alone,population_american_indian_alone,poverty_asian_alone,poverty_native_hawaiian_alone,poverty_two_or_more_races,poverty_hispanic_origin,poverty_family,poverty_family_single_male,poverty_family_single_female,employment_labor_force,employment_not_labor_force,employment_employed,employment_unemployed,Zipcode,Poverty Rate,index,City,County,Type
20731.0,2534.0,1228.0,1306.0,2006.0,169.0,27.0,38.0,0.0,198.0,322.0,239.0,13.0,211.0,15747.0,4041.0,14300.0,1447.0,90069,12.223240557619025,69,West Hollywood,Los Angeles,Standard
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90071,,71,Los Angeles,Los Angeles,Standard
8506.0,274.0,82.0,192.0,240.0,9.0,0.0,0.0,0.0,10.0,22.0,34.0,25.0,0.0,4192.0,2756.0,3896.0,296.0,90077,3.22125558429344,77,Los Angeles,Los Angeles,Standard
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90079,,79,Los Angeles,Los Angeles,Standard
5852.0,449.0,172.0,277.0,165.0,81.0,0.0,203.0,0.0,0.0,89.0,0.0,0.0,0.0,3911.0,1036.0,3488.0,423.0,90094,7.6725905673274095,92,Playa Vista,Los Angeles,Standard
101932.0,29924.0,13980.0,15944.0,20108.0,692.0,53.0,63.0,0.0,451.0,28605.0,5627.0,582.0,2612.0,45374.0,26646.0,38952.0,6409.0,90201,29.3568261193737,98,Bell Gardens,Los Angeles,Standard
21548.0,1599.0,648.0,951.0,1405.0,41.0,0.0,18.0,0.0,102.0,138.0,306.0,26.0,130.0,10121.0,7514.0,9386.0,735.0,90210,7.420642286987191,101,Beverly Hills,Los Angeles,Standard
7748.0,904.0,454.0,450.0,861.0,18.0,0.0,19.0,0.0,6.0,6.0,172.0,0.0,15.0,4625.0,2127.0,4149.0,476.0,90211,11.667527103768714,102,Beverly Hills,Los Angeles,Standard
12510.0,956.0,388.0,568.0,641.0,69.0,16.0,178.0,0.0,13.0,80.0,174.0,38.0,45.0,7492.0,2909.0,6498.0,994.0,90212,7.641886490807354,103,Beverly Hills,Los Angeles,Standard
49810.0,11596.0,5529.0,6067.0,4619.0,3006.0,89.0,74.0,38.0,284.0,7853.0,2036.0,176.0,1158.0,22415.0,13456.0,18293.0,4122.0,90220,23.28046576992572,105,Compton,Los Angeles,Standard
52446.0,13965.0,6238.0,7727.0,6383.0,2011.0,206.0,55.0,0.0,178.0,11636.0,2423.0,307.0,1106.0,22707.0,14364.0,18767.0,3940.0,90221,26.62738817068985,106,Compton,Los Angeles,Standard
31893.0,8887.0,4027.0,4860.0,3694.0,1969.0,29.0,117.0,17.0,324.0,6716.0,1598.0,119.0,853.0,13480.0,8743.0,11352.0,2128.0,90222,27.865048756780485,107,Compton,Los Angeles,Standard
32335.0,3272.0,1328.0,1944.0,1718.0,458.0,74.0,413.0,0.0,136.0,1666.0,668.0,101.0,368.0,18351.0,7952.0,16393.0,1958.0,90230,10.119066027524354,110,Culver City,Los Angeles,Standard
15454.0,1381.0,677.0,704.0,902.0,191.0,0.0,197.0,0.0,27.0,527.0,162.0,22.0,67.0,8882.0,3906.0,8077.0,805.0,90232,8.936197748155818,112,Culver City,Los Angeles,Standard
25411.0,1849.0,881.0,968.0,1448.0,2.0,0.0,185.0,0.0,0.0,1193.0,330.0,34.0,82.0,13168.0,6972.0,12084.0,1084.0,90240,7.2763763724371335,115,Downey,Los Angeles,Standard
43776.0,4945.0,2508.0,2437.0,3304.0,159.0,0.0,176.0,9.0,138.0,3959.0,888.0,111.0,431.0,22830.0,11079.0,20156.0,2645.0,90241,11.296144005847953,116,Downey,Los Angeles,Standard
43147.0,6384.0,2905.0,3479.0,3630.0,310.0,124.0,159.0,26.0,102.0,4787.0,1307.0,162.0,692.0,21724.0,10936.0,19498.0,2154.0,90242,14.795930192133868,117,Downey,Los Angeles,Standard
16760.0,808.0,391.0,417.0,634.0,28.0,0.0,38.0,0.0,62.0,244.0,144.0,35.0,85.0,9647.0,3799.0,9020.0,627.0,90245,4.821002386634845,118,El Segundo,Los Angeles,Standard
47361.0,9698.0,4391.0,5307.0,1290.0,2035.0,35.0,1421.0,31.0,148.0,5956.0,1867.0,236.0,869.0,23967.0,13184.0,21276.0,2691.0,90247,20.476763581850044,119,Gardena,Los Angeles,Standard
9822.0,1181.0,600.0,581.0,360.0,121.0,0.0,175.0,0.0,21.0,848.0,279.0,55.0,109.0,4746.0,3481.0,4175.0,571.0,90248,12.02402769293423,120,Gardena,Los Angeles,Standard
26800.0,3907.0,1491.0,2416.0,1075.0,799.0,0.0,351.0,2.0,182.0,2275.0,707.0,69.0,329.0,13231.0,7750.0,11565.0,1666.0,90249,14.578358208955224,121,Gardena,Los Angeles,Standard
93994.0,17368.0,7593.0,9775.0,7939.0,4525.0,87.0,769.0,149.0,974.0,10504.0,3321.0,430.0,1665.0,48869.0,22751.0,43982.0,4785.0,90250,18.477775177138966,122,Hawthorne,Los Angeles,Standard
19605.0,663.0,355.0,308.0,528.0,1.0,6.0,97.0,0.0,25.0,76.0,16.0,0.0,6.0,12551.0,3838.0,11889.0,625.0,90254,3.3817903596021424,124,Hermosa Beach,Los Angeles,Standard
76620.0,20539.0,9506.0,11033.0,14617.0,32.0,47.0,69.0,0.0,314.0,20231.0,4046.0,511.0,1665.0,36273.0,19289.0,31072.0,5201.0,90255,26.806316888540852,125,Huntington Park,Los Angeles,Standard
35508.0,5554.0,2587.0,2967.0,3011.0,550.0,0.0,525.0,0.0,351.0,3462.0,954.0,155.0,320.0,18375.0,8648.0,16339.0,1983.0,90260,15.641545567196125,126,Lawndale,Los Angeles,Standard
70137.0,16885.0,7352.0,9533.0,5393.0,1106.0,156.0,110.0,0.0,178.0,15450.0,3006.0,299.0,1491.0,29402.0,20812.0,25313.0,4089.0,90262,24.074311704235996,128,Lynwood,Los Angeles,Standard
17630.0,1625.0,697.0,928.0,1248.0,46.0,24.0,101.0,0.0,94.0,238.0,241.0,14.0,139.0,8509.0,6178.0,7772.0,723.0,90265,9.21724333522405,131,Malibu,Los Angeles,Standard
35324.0,1198.0,650.0,548.0,897.0,25.0,29.0,117.0,0.0,116.0,47.0,250.0,0.0,96.0,18848.0,8801.0,17895.0,907.0,90266,3.391461895595063,132,Manhattan Beach,Los Angeles,Standard
27527.0,7742.0,3239.0,4503.0,6134.0,80.0,0.0,0.0,0.0,135.0,7619.0,1566.0,155.0,677.0,12782.0,6598.0,11252.0,1518.0,90270,28.125113524902822,134,Maywood,Los Angeles,Standard
22779.0,1034.0,395.0,639.0,893.0,28.0,18.0,86.0,0.0,9.0,110.0,201.0,0.0,55.0,10664.0,7166.0,9626.0,1038.0,90272,4.539268624610386,135,Pacific Palisades,Los Angeles,Standard
25339.0,790.0,241.0,549.0,434.0,22.0,0.0,225.0,0.0,109.0,21.0,208.0,0.0,77.0,10924.0,9183.0,10473.0,451.0,90274,3.11772366707447,136,Palos Verdes Peninsula,Los Angeles,Standard
42051.0,1884.0,791.0,1093.0,1007.0,191.0,0.0,612.0,0.0,52.0,154.0,411.0,20.0,150.0,18969.0,14992.0,17867.0,1070.0,90275,4.480273953057003,137,Rancho Palos Verdes,Los Angeles,Standard
34635.0,1586.0,536.0,1050.0,1174.0,7.0,0.0,230.0,0.0,68.0,334.0,229.0,24.0,90.0,21227.0,8194.0,19619.0,1471.0,90277,4.579182907463548,138,Redondo Beach,Los Angeles,Standard
40574.0,2456.0,915.0,1541.0,1611.0,1.0,0.0,242.0,0.0,215.0,669.0,344.0,67.0,139.0,23725.0,8140.0,21958.0,1702.0,90278,6.053137477202149,139,Redondo Beach,Los Angeles,Standard
95000.0,19954.0,8560.0,11394.0,8152.0,145.0,35.0,56.0,0.0,298.0,19545.0,3990.0,541.0,1883.0,45124.0,26090.0,38467.0,6647.0,90280,21.004210526315788,140,South Gate,Los Angeles,Standard
7093.0,428.0,240.0,188.0,342.0,0.0,0.0,25.0,0.0,61.0,78.0,127.0,39.0,45.0,3802.0,1477.0,3452.0,350.0,90290,6.034118144649654,141,Topanga,Los Angeles,Standard
27253.0,3589.0,2038.0,1551.0,2410.0,466.0,0.0,151.0,8.0,172.0,1343.0,450.0,129.0,189.0,19156.0,4918.0,16993.0,2130.0,90291,13.169192382490001,142,Venice,Los Angeles,Standard
21536.0,2221.0,784.0,1437.0,1546.0,261.0,0.0,174.0,0.0,173.0,212.0,301.0,101.0,112.0,13921.0,5600.0,12898.0,999.0,90292,10.312964338781574,143,Marina Del Rey,Los Angeles,Standard
12403.0,831.0,371.0,460.0,538.0,69.0,0.0,147.0,0.0,54.0,74.0,77.0,22.0,9.0,9090.0,2504.0,8425.0,651.0,90293,6.699991937434492,144,Playa Del Rey,Los Angeles,Standard
36798.0,8435.0,3968.0,4467.0,2972.0,2240.0,13.0,42.0,7.0,270.0,5602.0,1596.0,185.0,681.0,18887.0,9428.0,15858.0,3007.0,90301,22.92244143703462,148,Inglewood,Los Angeles,Standard
30502.0,5726.0,2827.0,2899.0,2037.0,1716.0,26.0,10.0,0.0,178.0,3808.0,1106.0,89.0,420.0,16044.0,6667.0,13955.0,2078.0,90302,18.77253950560619,149,Inglewood,Los Angeles,Standard
26339.0,7585.0,3499.0,4086.0,2104.0,1336.0,6.0,8.0,0.0,182.0,6071.0,1522.0,219.0,711.0,12092.0,7022.0,10267.0,1825.0,90303,28.797600516344584,150,Inglewood,Los Angeles,Standard
28101.0,8973.0,4376.0,4597.0,2797.0,520.0,170.0,100.0,0.0,68.0,8076.0,1781.0,304.0,472.0,13019.0,7148.0,11441.0,1578.0,90304,31.931247998291877,151,Inglewood,Los Angeles,Standard
14814.0,1709.0,750.0,959.0,218.0,1315.0,9.0,17.0,0.0,69.0,331.0,328.0,37.0,229.0,7835.0,4492.0,6556.0,1202.0,90305,11.536384501147563,152,Inglewood,Los Angeles,Standard
6821.0,894.0,436.0,458.0,670.0,86.0,3.0,99.0,0.0,9.0,98.0,22.0,11.0,11.0,4730.0,1742.0,4141.0,589.0,90401,13.106582612520159,160,Santa Monica,Los Angeles,Standard
11749.0,630.0,292.0,338.0,522.0,29.0,0.0,53.0,0.0,26.0,94.0,63.0,0.0,18.0,6173.0,3735.0,5777.0,396.0,90402,5.3621584815729,161,Santa Monica,Los Angeles,Standard
24864.0,2102.0,1037.0,1065.0,1756.0,33.0,0.0,185.0,16.0,49.0,191.0,173.0,13.0,57.0,16005.0,5861.0,14742.0,1263.0,90403,8.453989703989704,162,Santa Monica,Los Angeles,Standard
20807.0,3117.0,1497.0,1620.0,1918.0,248.0,0.0,538.0,5.0,116.0,1056.0,481.0,41.0,297.0,12596.0,5666.0,11102.0,1494.0,90404,14.980535396741482,163,Santa Monica,Los Angeles,Standard
28560.0,3361.0,1591.0,1770.0,2327.0,142.0,0.0,635.0,0.0,176.0,424.0,235.0,57.0,62.0,17607.0,7092.0,15722.0,1836.0,90405,11.768207282913165,164,Santa Monica,Los Angeles,Standard
42373.0,6604.0,2731.0,3873.0,2472.0,733.0,27.0,720.0,0.0,148.0,4207.0,1334.0,184.0,527.0,22602.0,10458.0,19895.0,2693.0,90501,15.58539636089019,171,Torrance,Los Angeles,Standard
16947.0,1773.0,842.0,931.0,812.0,89.0,0.0,297.0,108.0,172.0,874.0,336.0,46.0,90.0,9070.0,4899.0,8160.0,899.0,90502,10.46202867764206,172,Torrance,Los Angeles,Standard
46780.0,3783.0,1609.0,2174.0,1696.0,179.0,0.0,1675.0,0.0,152.0,401.0,878.0,62.0,288.0,23949.0,13141.0,22023.0,1919.0,90503,8.086789226165028,173,Torrance,Los Angeles,Standard
31633.0,2081.0,947.0,1134.0,896.0,104.0,0.0,820.0,0.0,65.0,343.0,376.0,17.0,176.0,17716.0,8473.0,15899.0,1794.0,90504,6.578573009199254,174,Torrance,Los Angeles,Standard
36306.0,2431.0,1090.0,1341.0,1123.0,3.0,41.0,1108.0,10.0,110.0,200.0,454.0,0.0,156.0,18760.0,11140.0,17442.0,1318.0,90505,6.695862942764282,175,Torrance,Los Angeles,Standard
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90506,,176,Torrance,Los Angeles,Standard
33145.0,3762.0,1800.0,1962.0,1879.0,68.0,0.0,72.0,0.0,184.0,3053.0,625.0,130.0,355.0,16906.0,9063.0,15070.0,1836.0,90601,11.350128224468246,181,Whittier,Los Angeles,Standard
25768.0,4916.0,2000.0,2916.0,2207.0,125.0,99.0,116.0,0.0,15.0,4174.0,937.0,101.0,536.0,12753.0,7228.0,11545.0,1208.0,90602,19.077926109903757,182,Whittier,Los Angeles,Standard
20083.0,1037.0,517.0,520.0,744.0,13.0,0.0,80.0,0.0,100.0,404.0,168.0,36.0,53.0,10141.0,5980.0,9502.0,639.0,90603,5.163571179604641,183,Whittier,Los Angeles,Standard
40661.0,3189.0,1339.0,1850.0,2281.0,24.0,33.0,175.0,0.0,110.0,2048.0,610.0,168.0,212.0,19634.0,11848.0,18071.0,1563.0,90604,7.842896141265586,184,Whittier,Los Angeles,Standard
